mark_id,student_id,subject_id,marks_obtained,total_marks
1,1,41,97,100
2,1,42,57,100
3,1,43,96,100
4,1,44,55,100
5,1,45,75,100
6,2,36,99,100
7,2,37,85,100
8,2,38,42,100
9,2,39,37,100
10,2,40,28,100
11,3,21,34,100
12,3,22,76,100
13,3,23,67,100
14,3,24,20,100
15,3,25,37,100
16,4,31,54,100
17,4,32,96,100
18,4,33,34,100
19,4,34,35,100
20,4,35,46,100
21,5,11,76,100
22,5,12,64,100
23,5,13,68,100
24,5,14,28,100
25,5,15,54,100
26,6,46,62,100
27,6,47,58,100
28,6,48,38,100
29,6,49,55,100
30,6,50,80,100
31,7,51,60,100
32,7,52,29,100
33,7,53,27,100
34,7,54,88,100
35,7,55,41,100
36,8,1,38,100
37,8,2,66,100
38,8,3,50,100
39,8,4,91,100
40,8,5,97,100
41,9,16,41,100
42,9,17,60,100
43,9,18,24,100
44,9,19,99,100
45,9,20,93,100
46,10,26,81,100
47,10,27,99,100
48,10,28,99,100
49,10,29,57,100
50,10,30,100,100
51,11,51,46,100
52,11,52,93,100
53,11,53,48,100
54,11,54,70,100
55,11,55,36,100
56,12,21,64,100
57,12,22,22,100
58,12,23,80,100
59,12,24,43,100
60,12,25,85,100
61,13,46,25,100
62,13,47,86,100
63,13,48,39,100
64,13,49,54,100
65,13,50,40,100
66,14,46,87,100
67,14,47,32,100
68,14,48,69,100
69,14,49,87,100
70,14,50,47,100
71,15,56,73,100
72,15,57,29,100
73,15,58,57,100
74,15,59,26,100
75,15,60,59,100
76,16,41,20,100
77,16,42,93,100
78,16,43,68,100
79,16,44,96,100
80,16,45,99,100
81,17,1,94,100
82,17,2,50,100
83,17,3,41,100
84,17,4,81,100
85,17,5,88,100
86,18,6,96,100
87,18,7,76,100
88,18,8,56,100
89,18,9,49,100
90,18,10,72,100
91,19,26,86,100
92,19,27,63,100
93,19,28,57,100
94,19,29,79,100
95,19,30,54,100
96,20,26,36,100
97,20,27,60,100
98,20,28,44,100
99,20,29,82,100
100,20,30,66,100
101,21,41,79,100
102,21,42,34,100
103,21,43,45,100
104,21,44,76,100
105,21,45,96,100
106,22,31,89,100
107,22,32,58,100
108,22,33,93,100
109,22,34,85,100
110,22,35,40,100
111,23,16,60,100
112,23,17,85,100
113,23,18,57,100
114,23,19,27,100
115,23,20,65,100
116,24,46,87,100
117,24,47,71,100
118,24,48,32,100
119,24,49,20,100
120,24,50,48,100
121,25,21,89,100
122,25,22,98,100
123,25,23,37,100
124,25,24,33,100
125,25,25,96,100
126,26,41,59,100
127,26,42,24,100
128,26,43,20,100
129,26,44,77,100
130,26,45,60,100
131,27,21,56,100
132,27,22,51,100
133,27,23,67,100
134,27,24,95,100
135,27,25,56,100
136,28,1,41,100
137,28,2,67,100
138,28,3,92,100
139,28,4,82,100
140,28,5,30,100
141,29,16,88,100
142,29,17,32,100
143,29,18,55,100
144,29,19,74,100
145,29,20,86,100
146,30,6,41,100
147,30,7,44,100
148,30,8,48,100
149,30,9,32,100
150,30,10,27,100
151,31,26,86,100
152,31,27,59,100
153,31,28,29,100
154,31,29,25,100
155,31,30,94,100
156,32,36,23,100
157,32,37,62,100
158,32,38,69,100
159,32,39,48,100
160,32,40,68,100
161,33,56,35,100
162,33,57,70,100
163,33,58,34,100
164,33,59,77,100
165,33,60,73,100
166,34,36,68,100
167,34,37,53,100
168,34,38,67,100
169,34,39,55,100
170,34,40,20,100
171,35,26,72,100
172,35,27,94,100
173,35,28,27,100
174,35,29,55,100
175,35,30,69,100
176,36,36,50,100
177,36,37,70,100
178,36,38,72,100
179,36,39,92,100
180,36,40,98,100
181,37,16,67,100
182,37,17,65,100
183,37,18,26,100
184,37,19,70,100
185,37,20,21,100
186,38,11,25,100
187,38,12,20,100
188,38,13,74,100
189,38,14,49,100
190,38,15,21,100
191,39,16,63,100
192,39,17,96,100
193,39,18,59,100
194,39,19,58,100
195,39,20,92,100
196,40,36,56,100
197,40,37,42,100
198,40,38,99,100
199,40,39,89,100
200,40,40,47,100
201,41,51,77,100
202,41,52,54,100
203,41,53,56,100
204,41,54,37,100
205,41,55,78,100
206,42,31,71,100
207,42,32,38,100
208,42,33,100,100
209,42,34,92,100
210,42,35,100,100
211,43,11,96,100
212,43,12,80,100
213,43,13,75,100
214,43,14,35,100
215,43,15,40,100
216,44,26,43,100
217,44,27,63,100
218,44,28,32,100
219,44,29,25,100
220,44,30,86,100
221,45,41,97,100
222,45,42,62,100
223,45,43,59,100
224,45,44,68,100
225,45,45,79,100
226,46,36,64,100
227,46,37,93,100
228,46,38,59,100
229,46,39,96,100
230,46,40,52,100
231,47,21,96,100
232,47,22,62,100
233,47,23,93,100
234,47,24,71,100
235,47,25,26,100
236,48,21,75,100
237,48,22,80,100
238,48,23,52,100
239,48,24,56,100
240,48,25,35,100
241,49,51,37,100
242,49,52,96,100
243,49,53,92,100
244,49,54,81,100
245,49,55,69,100
246,50,56,98,100
247,50,57,80,100
248,50,58,40,100
249,50,59,100,100
250,50,60,72,100
251,51,11,47,100
252,51,12,49,100
253,51,13,44,100
254,51,14,86,100
255,51,15,56,100
256,52,51,30,100
257,52,52,93,100
258,52,53,78,100
259,52,54,66,100
260,52,55,86,100
261,53,26,86,100
262,53,27,65,100
263,53,28,66,100
264,53,29,88,100
265,53,30,54,100
266,54,46,63,100
267,54,47,60,100
268,54,48,42,100
269,54,49,98,100
270,54,50,84,100
271,55,46,23,100
272,55,47,50,100
273,55,48,38,100
274,55,49,47,100
275,55,50,85,100
276,56,56,62,100
277,56,57,24,100
278,56,58,35,100
279,56,59,96,100
280,56,60,91,100
281,57,31,85,100
282,57,32,55,100
283,57,33,80,100
284,57,34,28,100
285,57,35,62,100
286,58,41,25,100
287,58,42,80,100
288,58,43,25,100
289,58,44,33,100
290,58,45,55,100
291,59,21,23,100
292,59,22,65,100
293,59,23,33,100
294,59,24,99,100
295,59,25,89,100
296,60,21,71,100
297,60,22,20,100
298,60,23,46,100
299,60,24,23,100
300,60,25,58,100
301,61,21,58,100
302,61,22,89,100
303,61,23,50,100
304,61,24,22,100
305,61,25,48,100
306,62,41,69,100
307,62,42,61,100
308,62,43,44,100
309,62,44,47,100
310,62,45,89,100
311,63,36,69,100
312,63,37,99,100
313,63,38,55,100
314,63,39,27,100
315,63,40,92,100
316,64,6,26,100
317,64,7,46,100
318,64,8,41,100
319,64,9,58,100
320,64,10,64,100
321,65,1,36,100
322,65,2,36,100
323,65,3,37,100
324,65,4,65,100
325,65,5,63,100
326,66,31,29,100
327,66,32,42,100
328,66,33,21,100
329,66,34,81,100
330,66,35,89,100
331,67,51,20,100
332,67,52,64,100
333,67,53,62,100
334,67,54,48,100
335,67,55,88,100
336,68,41,40,100
337,68,42,69,100
338,68,43,94,100
339,68,44,68,100
340,68,45,48,100
341,69,46,42,100
342,69,47,28,100
343,69,48,37,100
344,69,49,38,100
345,69,50,65,100
346,70,16,54,100
347,70,17,25,100
348,70,18,26,100
349,70,19,75,100
350,70,20,69,100
351,71,46,38,100
352,71,47,31,100
353,71,48,31,100
354,71,49,100,100
355,71,50,63,100
356,72,31,59,100
357,72,32,56,100
358,72,33,51,100
359,72,34,24,100
360,72,35,89,100
361,73,11,94,100
362,73,12,71,100
363,73,13,87,100
364,73,14,74,100
365,73,15,86,100
366,74,21,98,100
367,74,22,80,100
368,74,23,65,100
369,74,24,98,100
370,74,25,55,100
371,75,36,92,100
372,75,37,94,100
373,75,38,90,100
374,75,39,99,100
375,75,40,69,100
376,76,11,42,100
377,76,12,76,100
378,76,13,76,100
379,76,14,95,100
380,76,15,36,100
381,77,36,34,100
382,77,37,81,100
383,77,38,100,100
384,77,39,33,100
385,77,40,42,100
386,78,16,62,100
387,78,17,31,100
388,78,18,53,100
389,78,19,22,100
390,78,20,52,100
391,79,11,29,100
392,79,12,94,100
393,79,13,39,100
394,79,14,82,100
395,79,15,53,100
396,80,51,86,100
397,80,52,33,100
398,80,53,27,100
399,80,54,33,100
400,80,55,87,100
401,81,56,42,100
402,81,57,50,100
403,81,58,46,100
404,81,59,30,100
405,81,60,39,100
406,82,31,47,100
407,82,32,33,100
408,82,33,59,100
409,82,34,85,100
410,82,35,61,100
411,83,26,33,100
412,83,27,61,100
413,83,28,49,100
414,83,29,49,100
