attendance_id,student_id,date,status
1,1,2024-01-01,Present
2,1,2024-01-02,Present
3,1,2024-01-03,Absent
4,1,2024-01-04,Present
5,1,2024-01-05,Present
6,1,2024-01-06,Present
7,1,2024-01-07,Absent
8,1,2024-01-08,Late
9,1,2024-01-09,Present
10,1,2024-01-10,Absent
11,1,2024-01-11,Present
12,1,2024-01-12,Present
13,1,2024-01-13,Present
14,1,2024-01-14,Present
15,1,2024-01-15,Late
16,1,2024-01-16,Present
17,1,2024-01-17,Present
18,1,2024-01-18,Present
19,1,2024-01-19,Present
20,1,2024-01-20,Present
21,1,2024-01-21,Present
22,1,2024-01-22,Absent
23,1,2024-01-23,Present
24,1,2024-01-24,Present
25,1,2024-01-25,Present
26,1,2024-01-26,Absent
27,1,2024-01-27,Absent
28,1,2024-01-28,Present
29,1,2024-01-29,Present
30,1,2024-01-30,Present
31,1,2024-01-31,Present
32,2,2024-01-01,Present
33,2,2024-01-02,Present
34,2,2024-01-03,Present
35,2,2024-01-04,Present
36,2,2024-01-05,Present
37,2,2024-01-06,Present
38,2,2024-01-07,Present
39,2,2024-01-08,Present
40,2,2024-01-09,Present
41,2,2024-01-10,Present
42,2,2024-01-11,Present
43,2,2024-01-12,Present
44,2,2024-01-13,Absent
45,2,2024-01-14,Present
46,2,2024-01-15,Late
47,2,2024-01-16,Present
48,2,2024-01-17,Present
49,2,2024-01-18,Present
50,2,2024-01-19,Present
51,2,2024-01-20,Present
52,2,2024-01-21,Present
53,2,2024-01-22,Present
54,2,2024-01-23,Present
55,2,2024-01-24,Present
56,2,2024-01-25,Present
57,2,2024-01-26,Present
58,2,2024-01-27,Present
59,2,2024-01-28,Present
60,2,2024-01-29,Present
61,2,2024-01-30,Present
62,2,2024-01-31,Present
63,3,2024-01-01,Present
64,3,2024-01-02,Present
65,3,2024-01-03,Present
66,3,2024-01-04,Present
67,3,2024-01-05,Absent
68,3,2024-01-06,Present
69,3,2024-01-07,Absent
70,3,2024-01-08,Present
71,3,2024-01-09,Present
72,3,2024-01-10,Present
73,3,2024-01-11,Present
74,3,2024-01-12,Present
75,3,2024-01-13,Present
76,3,2024-01-14,Absent
77,3,2024-01-15,Absent
78,3,2024-01-16,Present
79,3,2024-01-17,Present
80,3,2024-01-18,Absent
81,3,2024-01-19,Present
82,3,2024-01-20,Absent
83,3,2024-01-21,Present
84,3,2024-01-22,Late
85,3,2024-01-23,Present
86,3,2024-01-24,Present
87,3,2024-01-25,Present
88,3,2024-01-26,Absent
89,3,2024-01-27,Absent
90,3,2024-01-28,Late
91,3,2024-01-29,Present
92,3,2024-01-30,Present
93,3,2024-01-31,Absent
94,4,2024-01-01,Present
95,4,2024-01-02,Late
96,4,2024-01-03,Present
97,4,2024-01-04,Present
98,4,2024-01-05,Present
99,4,2024-01-06,Present
100,4,2024-01-07,Present
101,4,2024-01-08,Absent
102,4,2024-01-09,Present
103,4,2024-01-10,Present
104,4,2024-01-11,Present
105,4,2024-01-12,Present
106,4,2024-01-13,Present
107,4,2024-01-14,Present
108,4,2024-01-15,Absent
109,4,2024-01-16,Present
110,4,2024-01-17,Present
111,4,2024-01-18,Present
112,4,2024-01-19,Absent
113,4,2024-01-20,Present
114,4,2024-01-21,Late
115,4,2024-01-22,Present
116,4,2024-01-23,Present
117,4,2024-01-24,Present
118,4,2024-01-25,Late
119,4,2024-01-26,Present
120,4,2024-01-27,Present
121,4,2024-01-28,Present
122,4,2024-01-29,Present
123,4,2024-01-30,Present
124,4,2024-01-31,Present
125,5,2024-01-01,Present
126,5,2024-01-02,Present
127,5,2024-01-03,Present
128,5,2024-01-04,Present
129,5,2024-01-05,Present
130,5,2024-01-06,Present
131,5,2024-01-07,Present
132,5,2024-01-08,Present
133,5,2024-01-09,Present
134,5,2024-01-10,Late
135,5,2024-01-11,Present
136,5,2024-01-12,Present
137,5,2024-01-13,Present
138,5,2024-01-14,Present
139,5,2024-01-15,Present
140,5,2024-01-16,Present
141,5,2024-01-17,Present
142,5,2024-01-18,Present
143,5,2024-01-19,Present
144,5,2024-01-20,Present
145,5,2024-01-21,Present
146,5,2024-01-22,Absent
147,5,2024-01-23,Late
